SETTLEMENTDATE,DUID,SCADAVALUE
2026-03-17 00:00:00,LYA3,557.0
2026-03-17 00:00:00,LYA4,557.0
2026-03-17 00:00:00,MACARTH1,0.0
2026-03-17 00:00:00,MACKNTSH,78.05
2026-03-17 00:00:00,MANNSF2,0.0
2026-03-17 00:00:00,MANNUMB1,-0.1
2026-03-17 00:00:00,MANSLR1,0.0
2026-03-17 00:00:00,MAPS2PV1,0.0
2026-03-17 00:00:00,MAPS3PV1,0.0
2026-03-17 00:00:00,MARYRSF1,0.0
2026-03-17 00:00:00,MBAHNTH,21.1
2026-03-17 00:00:00,MBPS2PV1,0.0
2026-03-17 00:00:00,MCINTYR1,199.786
2026-03-17 00:00:00,MCKAY1,0.02
2026-03-17 00:00:00,MEADOWBK,5.80174
2026-03-17 00:00:00,MERCER01,0.0
2026-03-17 00:00:00,METZSF1,0.0
2026-03-17 00:00:00,MEWF1,142.22131
2026-03-17 00:00:00,MIDDLSF1,0.0
2026-03-17 00:00:00,MINTARO,0.08545
2026-03-17 00:00:00,MLB01,-0.49
2026-03-17 00:00:00,MLSP1,0.003
2026-03-17 00:00:00,MLWF1,0.375
2026-03-17 00:00:00,MOKOSF1,0.0
2026-03-17 00:00:00,MOLNGSF1,0.0
2026-03-17 00:00:00,MOORAWF1,6.47
2026-03-17 00:00:00,MOREESF1,0.0
2026-03-17 00:00:00,MORTLK11,267.0
2026-03-17 00:00:00,MORTLK12,269.0
2026-03-17 00:00:00,MOUSF1,0.0
2026-03-17 00:00:00,MP1,450.4097
2026-03-17 00:00:00,MP2,449.16458
2026-03-17 00:00:00,MPP_1,405.01236
2026-03-17 00:00:00,MPP_2,419.81387
2026-03-17 00:00:00,MREHA1,0.79561
2026-03-17 00:00:00,MREHA2,-0.57404
2026-03-17 00:00:00,MREHA3,-0.82918
2026-03-17 00:00:00,MRTLSWF1,0.0
2026-03-17 00:00:00,MSTUART1,0.0
2026-03-17 00:00:00,MSTUART2,0.0
2026-03-17 00:00:00,MSTUART3,0.0
2026-03-17 00:00:00,MTGELWF1,0.0
2026-03-17 00:00:00,MTMILLAR,21.1
2026-03-17 00:00:00,MUCRKSF1,0.4
2026-03-17 00:00:00,MURRAY,681.5
2026-03-17 00:00:00,MUSSELR1,22.1
2026-03-17 00:00:00,MUWAWF1,2.42
2026-03-17 00:00:00,MUWAWF2,2.3
2026-03-17 00:00:00,MWPS1PV1,0.0
2026-03-17 00:00:00,MWPS2PV1,0.0
2026-03-17 00:00:00,MWPS3PV1,0.0
2026-03-17 00:00:00,MWPS4PV1,0.0
2026-03-17 00:00:00,NBHWF1,40.9
2026-03-17 00:00:00,NESBESS1,-0.37377
2026-03-17 00:00:00,NESBESS2,0.00175
2026-03-17 00:00:00,NEVERSF1,0.0
2026-03-17 00:00:00,NEWENSF1,0.0
2026-03-17 00:00:00,NEWENSF2,0.0
2026-03-17 00:00:00,NPS,0.0
2026-03-17 00:00:00,NUMURSF1,0.0
2026-03-17 00:00:00,NYNGAN1,0.0
2026-03-17 00:00:00,OAKEY1,0.0
2026-03-17 00:00:00,OAKEY1SF,0.0
2026-03-17 00:00:00,OAKEY2,0.0
2026-03-17 00:00:00,OAKEY2SF,0.0
2026-03-17 00:00:00,OAKLAND1,0.0
2026-03-17 00:00:00,ORABESS1,-0.01324
2026-03-17 00:00:00,OSB-AG,0.0
2026-03-17 00:00:00,PALOONA,0.0
2026-03-17 00:00:00,PAREPS1,0.0
2026-03-17 00:00:00,PAREPW1,8.86
2026-03-17 00:00:00,PARSF1,0.00153
2026-03-17 00:00:00,PIBESS1,0.0
2026-03-17 00:00:00,PIONEER,-0.5
2026-03-17 00:00:00,POAT110,51.92536
2026-03-17 00:00:00,POAT220,82.0152
2026-03-17 00:00:00,POR01,0.0
2026-03-17 00:00:00,POR03,0.0
2026-03-17 00:00:00,PORTWF,2.1
2026-03-17 00:00:00,PPCCGT,284.2843
2026-03-17 00:00:00,PTSTAN1,0.0
2026-03-17 00:00:00,PUMP1,0.0
2026-03-17 00:00:00,PUMP2,0.0
2026-03-17 00:00:00,QBYNB1,-0.0415
2026-03-17 00:00:00,QPS1,27.6
2026-03-17 00:00:00,QPS2,0.0
2026-03-17 00:00:00,QPS3,29.0
2026-03-17 00:00:00,QPS4,0.0
2026-03-17 00:00:00,QPS5,0.0
2026-03-17 00:00:00,QPSFB1,-0.015
2026-03-17 00:00:00,QPSFB2,-0.004
2026-03-17 00:00:00,RANGEB1,-4.99
2026-03-17 00:00:00,REECE1,99.8308
2026-03-17 00:00:00,REECE2,0.0
2026-03-17 00:00:00,REPULSE,8.921647
2026-03-17 00:00:00,RESS1,0.02542
2026-03-17 00:00:00,RIVNB2,0.01944
2026-03-17 00:00:00,ROMA_7,0.0
2026-03-17 00:00:00,ROMA_8,0.0
2026-03-17 00:00:00,ROWALLAN,-0.003891
2026-03-17 00:00:00,ROYALLA1,0.0
2026-03-17 00:00:00,RPCG,-0.3
2026-03-17 00:00:00,RRSF1,0.0
2026-03-17 00:00:00,RT_NSW1,0.0
2026-03-17 00:00:00,RT_NSW2,0.0
2026-03-17 00:00:00,RT_NSW3,0.0
2026-03-17 00:00:00,RT_NSW4,0.0
2026-03-17 00:00:00,RT_NSW5,0.0
2026-03-17 00:00:00,RT_NSW6,0.0
2026-03-17 00:00:00,RT_QLD1,0.0
2026-03-17 00:00:00,RT_SA1,0.0
2026-03-17 00:00:00,RT_SA2,0.0
2026-03-17 00:00:00,RT_SA3,0.0
2026-03-17 00:00:00,RT_SA4,0.0
2026-03-17 00:00:00,RT_SA5,0.0
2026-03-17 00:00:00,RT_SA6,0.0
2026-03-17 00:00:00,RT_TAS1,0.0
2026-03-17 00:00:00,RT_VIC1,0.0
2026-03-17 00:00:00,RT_VIC10,0.0
2026-03-17 00:00:00,RT_VIC11,0.0
2026-03-17 00:00:00,RT_VIC12,0.0
2026-03-17 00:00:00,RT_VIC2,0.0
2026-03-17 00:00:00,RT_VIC3,0.0
2026-03-17 00:00:00,RT_VIC4,0.0
2026-03-17 00:00:00,RT_VIC5,0.0
2026-03-17 00:00:00,RT_VIC6,0.0
2026-03-17 00:00:00,RT_VIC7,0.0
2026-03-17 00:00:00,RT_VIC8,0.0
2026-03-17 00:00:00,RT_VIC9,0.0
2026-03-17 00:00:00,RUBICON,0.0
2026-03-17 00:00:00,RUGBYR1,0.0
2026-03-17 00:00:00,RYANCWF1,3.9
2026-03-17 00:00:00,RYEPARK1,0.0
2026-03-17 00:00:00,SALTCRK1,0.75
2026-03-17 00:00:00,SAPHWF1,58.14145
2026-03-17 00:00:00,SEBSF1,0.0
2026-03-17 00:00:00,SHGEN,0.0
2026-03-17 00:00:00,SHOAL1,43.220001
2026-03-17 00:00:00,SHPUMP,0.0
2026-03-17 00:00:00,SITHE01,0.0
2026-03-17 00:00:00,SMCSF1,0.0
2026-03-17 00:00:00,SMTHBES1,-2.04515
2026-03-17 00:00:00,SNAPPER1,0.0
2026-03-17 00:00:00,SNB01,0.06955
2026-03-17 00:00:00,SNB02,0.03166
2026-03-17 00:00:00,SNOWNTH1,6.0
2026-03-17 00:00:00,SNOWSTH1,1.79999
2026-03-17 00:00:00,SNOWTWN1,3.30495
2026-03-17 00:00:00,SNOWYP,0.0
2026-03-17 00:00:00,SNUG1,0.0
2026-03-17 00:00:00,SRSF1,0.0
2026-03-17 00:00:00,STAN-1,150.72452
2026-03-17 00:00:00,STAN-2,150.26308
2026-03-17 00:00:00,STAN-3,150.40407
2026-03-17 00:00:00,STAN-4,150.4297
2026-03-17 00:00:00,STARHLWF,13.99592
2026-03-17 00:00:00,STOCKYD1,10.36
2026-03-17 00:00:00,STUBSF1,0.00458
2026-03-17 00:00:00,STUBSF2,0.00458
2026-03-17 00:00:00,STWF1,49.1371
2026-03-17 00:00:00,SUNRSF1,0.0
2026-03-17 00:00:00,SUNTPSF1,0.0
2026-03-17 00:00:00,SWANBBF1,-0.51728
2026-03-17 00:00:00,SWAN_E,277.54813
2026-03-17 00:00:00,TALWA1,0.0
2026-03-17 00:00:00,TALWB1,0.0
2026-03-17 00:00:00,TARALGA1,7.40307
2026-03-17 00:00:00,TARBESS1,1.66584
2026-03-17 00:00:00,TARONG#1,254.7
2026-03-17 00:00:00,TARONG#2,255.60001
2026-03-17 00:00:00,TARONG#3,179.60001
2026-03-17 00:00:00,TARONG#4,339.80002
2026-03-17 00:00:00,TARRALEA,21.1
2026-03-17 00:00:00,TB2B1,-0.11498
2026-03-17 00:00:00,TB2SF1,0.0
2026-03-17 00:00:00,TBSF1,0.0
2026-03-17 00:00:00,TEMPB1,-0.4
2026-03-17 00:00:00,TIB1,-0.3
2026-03-17 00:00:00,TNPS1,299.5
2026-03-17 00:00:00,TORRB1,0.0
2026-03-17 00:00:00,TORRB2,0.0
2026-03-17 00:00:00,TORRB3,59.0
2026-03-17 00:00:00,TORRB4,0.0
2026-03-17 00:00:00,TREVALLN,21.82587
2026-03-17 00:00:00,TRGBESS1,-0.24
2026-03-17 00:00:00,TRIBUTE,0.0
2026-03-17 00:00:00,TULLYSM1,0.0
2026-03-17 00:00:00,TUMUT3,0.0
2026-03-17 00:00:00,TUNGATIN,3.34
2026-03-17 00:00:00,TVCC201,0.0
2026-03-17 00:00:00,TVPP104,0.0
2026-03-17 00:00:00,ULPBESS1,0.611
2026-03-17 00:00:00,UPPTUMUT,0.0
2026-03-17 00:00:00,URANQ11,0.0
2026-03-17 00:00:00,URANQ12,0.0
2026-03-17 00:00:00,URANQ13,0.0
2026-03-17 00:00:00,URANQ14,0.0
2026-03-17 00:00:00,VBB1,-3.1
2026-03-17 00:00:00,VP5,548.99133
2026-03-17 00:00:00,VP6,550.74921
2026-03-17 00:00:00,VPGS1,0.0
2026-03-17 00:00:00,VPGS2,0.0
2026-03-17 00:00:00,VPGS3,0.0
2026-03-17 00:00:00,VPGS4,0.0
2026-03-17 00:00:00,VPGS5,0.0
2026-03-17 00:00:00,VPGS6,0.0
2026-03-17 00:00:00,W/HOE#1,0.0
2026-03-17 00:00:00,W/HOE#2,0.0
2026-03-17 00:00:00,WAGGNSF1,0.0
2026-03-17 00:00:00,WALGRV1,-1.49021
2026-03-17 00:00:00,WAMBOWF1,40.405
2026-03-17 00:00:00,WANDB1,-14.47961
2026-03-17 00:00:00,WANDSF1,0.0
2026-03-17 00:00:00,WARWSF1,0.0
2026-03-17 00:00:00,WARWSF2,0.0
2026-03-17 00:00:00,WATERLWF,17.9
2026-03-17 00:00:00,WAUBRAWF,0.0
2026-03-17 00:00:00,WDBESS1,-4.10489
2026-03-17 00:00:00,WDBESS2,-19.08566
2026-03-17 00:00:00,WDGPH1,0.0
2026-03-17 00:00:00,WELLSF1,0.0
2026-03-17 00:00:00,WELNSF1,0.0
2026-03-17 00:00:00,WEMENSF1,0.0
2026-03-17 00:00:00,WGWF1,29.2
2026-03-17 00:00:00,WHITSF1,0.0
2026-03-17 00:00:00,WINTSF1,0.0
2026-03-17 00:00:00,WKIEWA1,0.0
2026-03-17 00:00:00,WKIEWA2,15.2
2026-03-17 00:00:00,WLWLSF1,0.0
2026-03-17 00:00:00,WLWLSF2,0.0
2026-03-17 00:00:00,WNSF1,0.0
2026-03-17 00:00:00,WOLARSF1,0.0
2026-03-17 00:00:00,WOODLWN1,0.0
2026-03-17 00:00:00,WOOLGSF1,0.0
2026-03-17 00:00:00,WOOLNTH1,5.41
2026-03-17 00:00:00,WPWF,24.67
2026-03-17 00:00:00,WRSF1,0.0
2026-03-17 00:00:00,WRWF1,6.41001
2026-03-17 00:00:00,WSTWYSF1,0.0
2026-03-17 00:00:00,WTAHB1,-0.79118
2026-03-17 00:00:00,WUNUSF1,0.0
2026-03-17 00:00:00,WYASF1,0.0
2026-03-17 00:00:00,YABULU,0.0
2026-03-17 00:00:00,YABULU2,0.0
2026-03-17 00:00:00,YAMBUKWF,-0.2
2026-03-17 00:00:00,YARANSF1,0.0
2026-03-17 00:00:00,YARWUN_1,158.59
2026-03-17 00:00:00,YATSF1,0.0
2026-03-17 00:00:00,YENDWF1,6.01
2026-03-17 00:00:00,YSWF1,0.0
2026-03-17 00:00:00,YWPS1,330.0
2026-03-17 00:00:00,YWPS2,329.25
2026-03-17 00:00:00,YWPS3,343.6875
2026-03-17 00:00:00,YWPS4,367.3125
2026-03-17 00:05:00,ADPBA1,0.004
2026-03-17 00:05:00,ADPPV1,0.0
2026-03-17 00:05:00,AGLHAL,30.03022
2026-03-17 00:05:00,AGLSOM,0.0
2026-03-17 00:05:00,ALDGASF1,0.0
2026-03-17 00:05:00,ANGAST1,0.0
2026-03-17 00:05:00,ARWF1,20.5
2026-03-17 00:05:00,AVLSF1,0.0
2026-03-17 00:05:00,BALB1,0.0
2026-03-17 00:05:00,BALDHWF1,3.02
2026-03-17 00:05:00,BANGOWF1,4.79744
2026-03-17 00:05:00,BANGOWF2,2.59792
2026-03-17 00:05:00,BANN1,0.0
2026-03-17 00:05:00,BARCALDN,0.0
2026-03-17 00:05:00,BARCSF1,0.1
2026-03-17 00:05:00,BARKIPS1,64.88
2026-03-17 00:05:00,BARRON-1,33.0925
2026-03-17 00:05:00,BARRON-2,33.1375
2026-03-17 00:05:00,BASTYAN,70.87
2026-03-17 00:05:00,BBATTERY1,-0.34494
2026-03-17 00:05:00,BBTHREE1,0.0
2026-03-17 00:05:00,BBTHREE2,0.0
2026-03-17 00:05:00,BBTHREE3,0.0
2026-03-17 00:05:00,BDL01,0.0
2026-03-17 00:05:00,BDL02,0.0
2026-03-17 00:05:00,BERYLSF1,0.0
2026-03-17 00:05:00,BHB1,-5.0618
2026-03-17 00:05:00,BLOWERNG,0.0
2026-03-17 00:05:00,BLUEGSF1,0.0
2026-03-17 00:05:00,BLUFF1,5.6
2026-03-17 00:05:00,BLYTHB1,0.07
2026-03-17 00:05:00,BNGSF1,0.0
2026-03-17 00:05:00,BNGSF2,0.0
2026-03-17 00:05:00,BOCORWF1,92.64
2026-03-17 00:05:00,BODWF1,3.3287
2026-03-17 00:05:00,BOLIVPS1,1e-05
2026-03-17 00:05:00,BOMENSF1,0.0
2026-03-17 00:05:00,BOWWBA1,0.002
2026-03-17 00:05:00,BOWWPV1,0.0
2026-03-17 00:05:00,BRAEMAR1,0.0
2026-03-17 00:05:00,BRAEMAR2,0.0
2026-03-17 00:05:00,BRAEMAR3,0.0
2026-03-17 00:05:00,BRAEMAR5,0.29206
2026-03-17 00:05:00,BRAEMAR6,0.0
2026-03-17 00:05:00,BRAEMAR7,0.0
2026-03-17 00:05:00,BRDDSF01,0.0
2026-03-17 00:05:00,BRNDBES1,0.36805
2026-03-17 00:05:00,BROKENH1,0.0
2026-03-17 00:05:00,BRYB1WF1,0.0
2026-03-17 00:05:00,BRYB2WF2,0.0
2026-03-17 00:05:00,BULBES1,-1.26
2026-03-17 00:05:00,BULGANA1,1.65
2026-03-17 00:05:00,BUNGAMB1,-0.95
2026-03-17 00:05:00,BUSF1,0.0
2026-03-17 00:05:00,BUTLERSG,2.1
2026-03-17 00:05:00,BW01,614.35266
2026-03-17 00:05:00,BW02,641.45264
2026-03-17 00:05:00,BW03,640.47607
2026-03-17 00:05:00,BW04,641.13525
2026-03-17 00:05:00,BWTR1,-0.68592
2026-03-17 00:05:00,CALL_B_1,319.5
2026-03-17 00:05:00,CALL_B_2,320.10001
2026-03-17 00:05:00,CAPBES1,-0.46
2026-03-17 00:05:00,CAPTL_WF,0.0
2026-03-17 00:05:00,CATHROCK,6.8
2026-03-17 00:05:00,CBWWBA1,0.001
2026-03-17 00:05:00,CETHANA,0.0
